image_path;classes;width;height;orientation;word_count
marie-claire_img/couv/bpt6k4701089j-PAG_1_IL000001 - Grande.jpeg;couv;3861;5039;portrait;6
marie-claire_img/couv/bpt6k4701214h-PAG_1_IL000001 - Grande.jpeg;couv;3905;5003;portrait;6
marie-claire_img/couv/bpt6k4701140n-PAG_1_IL000001 - Grande.jpeg;couv;3976;5095;portrait;10
marie-claire_img/couv/bpt6k4701078r-PAG_1_IL000001 - Grande.jpeg;couv;3695;4975;portrait;5
marie-claire_img/couv/bpt6k4701318h-PAG_1_IL000001 - Grande.jpeg;couv;3905;5002;portrait;8
marie-claire_img/couv/bpt6k4701159r-PAG_1_IL000001 - Grande.jpeg;couv;3738;5009;portrait;6
marie-claire_img/couv/bpt6k4701288t-PAG_1_IL000001 - Grande.jpeg;couv;3933;4997;portrait;10
marie-claire_img/couv/bpt6k4701296c-PAG_1_IL000001 - Grande.jpeg;couv;3905;5002;portrait;8
marie-claire_img/couv/bpt6k47013032-PAG_1_IL000001 - Grande.jpeg;couv;3905;5002;portrait;9
marie-claire_img/couv/bpt6k47012682-PAG_1_IL000001 - Grande.jpeg;couv;3734;4931;portrait;6
marie-claire_img/couv/bpt6k47013492-PAG_1_IL000001 - Grande.jpeg;couv;3411;4643;portrait;9
marie-claire_img/couv/bpt6k4701340b-PAG_1_IL000001 - Grande.jpeg;couv;3826;4969;portrait;11
marie-claire_img/couv/bpt6k4701290w-PAG_1_IL000001 - Grande.jpeg;couv;3861;4938;portrait;7
marie-claire_img/couv/bpt6k47012615-PAG_1_IL000001 - Grande.jpeg;couv;3855;5003;portrait;7
marie-claire_img/couv/bpt6k47011946-PAG_1_IL000001 - Grande.jpeg;couv;3910;5039;portrait;7
marie-claire_img/couv/bpt6k47010832-PAG_1_IL000001 - Grande.jpeg;couv;3797;5004;portrait;9
marie-claire_img/couv/bpt6k47010743-PAG_1_IL000001 - Grande.jpeg;couv;3804;4957;portrait;9
marie-claire_img/couv/bpt6k47011716-PAG_1_IL000001 - Grande.jpeg;couv;3799;5000;portrait;10
marie-claire_img/couv/bpt6k4701348n-PAG_1_IL000001 - Grande.jpeg;couv;3826;4969;portrait;8
marie-claire_img/couv/bpt6k4701285k-PAG_1_IL000001 - Grande.jpeg;couv;3933;4997;portrait;3
marie-claire_img/couv/bpt6k4701110h-PAG_1_IL000001 - Grande.jpeg;couv;3883;5031;portrait;7
marie-claire_img/couv/bpt6k47011323-PAG_1_IL000001 - Grande.jpeg;couv;3880;5079;portrait;12
marie-claire_img/couv/bpt6k4701145q-PAG_1_IL000001 - Grande.jpeg;couv;3909;5095;portrait;10
marie-claire_img/couv/bpt6k4701205j-PAG_1_IL000001 - Grande.jpeg;couv;3905;5002;portrait;7
marie-claire_img/couv/bpt6k47010565-PAG_1_IL000001 - Grande.jpeg;couv;3862;4975;portrait;16
marie-claire_img/couv/bpt6k4701350q-PAG_1_IL000001 - Grande.jpeg;couv;3411;4643;portrait;6
marie-claire_img/couv/bpt6k47013084-PAG_1_IL000001 - Grande.jpeg;couv;3905;5002;portrait;9
marie-claire_img/couv/bpt6k4701075h-PAG_1_IL000001 - Grande.jpeg;couv;3804;4957;portrait;8
marie-claire_img/couv/bpt6k47010476-PAG_1_IL000001 - Grande.jpeg;couv;3819;4975;portrait;10
marie-claire_img/couv/bpt6k4701228j-PAG_1_IL000001 - Grande.jpeg;couv;3744;4973;portrait;10
marie-claire_img/double_editorial/bpt6k47013121-PAG_4_IL000001 - Grande.jpeg;double_editorial;7726;5002;paysage;360
marie-claire_img/double_editorial/bpt6k4701325n-PAG_11_IL000001 - Grande.jpeg;double_editorial;7523;5024;paysage;416
marie-claire_img/double_editorial/bpt6k47013158-PAG_12_IL000001 - Grande.jpeg;double_editorial;7473;5002;paysage;379
marie-claire_img/double_editorial/bpt6k47011538-PAG_29_IL000001 - Grande.jpeg;double_editorial;7696;5039;paysage;500
marie-claire_img/double_editorial/bpt6k4701201w-PAG_12_IL000001 - Grande.jpeg;double_editorial;7569;5002;paysage;120
marie-claire_img/double_editorial/bpt6k4701101j-PAG_25_IL000001 - Grande.jpeg;double_editorial;7637;5021;paysage;279
marie-claire_img/double_editorial/bpt6k47012133-PAG_18_IL000001 - Grande.jpeg;double_editorial;7606;5003;paysage;602
marie-claire_img/double_editorial/bpt6k47013336-PAG_7_IL000001 - Grande.jpeg;double_editorial;7596;4969;paysage;970
marie-claire_img/double_editorial/bpt6k4701314v-PAG_7_IL000001 - Grande.jpeg;double_editorial;7726;5002;paysage;310
marie-claire_img/double_editorial/bpt6k47012986-PAG_7_IL000001 - Grande.jpeg;double_editorial;7673;5002;paysage;630
marie-claire_img/double_editorial/bpt6k4701102z-PAG_26_IL000001 - Grande.jpeg;double_editorial;7558;5021;paysage;252
marie-claire_img/double_editorial/bpt6k4701179h-PAG_9_IL000001 - Grande.jpeg;double_editorial;7752;5000;paysage;301
marie-claire_img/double_editorial/bpt6k4701322d-PAG_5_IL000001 - Grande.jpeg;double_editorial;7471;5024;paysage;274
marie-claire_img/double_editorial/bpt6k4701302n-PAG_5_IL000001 - Grande.jpeg;double_editorial;7673;5002;paysage;183
marie-claire_img/double_editorial/bpt6k47012118-PAG_9_IL000001 - Grande.jpeg;double_editorial;7573;5050;paysage;649
marie-claire_img/double_editorial/bpt6k4701215x-PAG_8_IL000001 - Grande.jpeg;double_editorial;7606;5003;paysage;355
marie-claire_img/double_editorial/bpt6k47012860-PAG_10_IL000001 - Grande.jpeg;double_editorial;7549;4997;paysage;340
marie-claire_img/double_editorial/bpt6k47013173-PAG_10_IL000001 - Grande.jpeg;double_editorial;7473;5002;paysage;202
marie-claire_img/double_editorial/bpt6k4701172m-PAG_15_IL000001 - Grande.jpeg;double_editorial;7436;5000;paysage;248
marie-claire_img/pub/bpt6k47013173-PAG_14_IL000001 - Grande.jpeg;pub;3905;5002;portrait;219
marie-claire_img/pub/bpt6k47011449-PAG_44_IL000001 - Grande.jpeg;pub;3909;5095;portrait;51
marie-claire_img/pub/bpt6k4701299m-PAG_15_IL000001 - Grande.jpeg;pub;3905;5002;portrait;8
marie-claire_img/pub/bpt6k47011449-PAG_2_IL000001 - Grande.jpeg;pub;3909;5095;portrait;6
